,id,product,f,p,y,Yogurt1,Yogurt2,Yogurt3
0,1,1,0.0,0.108,0.0,1,0,0
1,1,2,0.0,0.081,0.0,0,1,0
2,1,3,0.0,0.061000001,0.0,0,0,1
3,1,4,0.0,0.079000004,1.0,0,0,0
4,2,1,0.0,0.108,0.0,1,0,0
5,2,2,0.0,0.097999997,1.0,0,1,0
6,2,3,0.0,0.064000003,0.0,0,0,1
7,2,4,0.0,0.075000003,0.0,0,0,0
8,3,1,0.0,0.108,0.0,1,0,0
9,3,2,0.0,0.097999997,1.0,0,1,0
10,3,3,0.0,0.061000001,0.0,0,0,1
11,3,4,0.0,0.086000003,0.0,0,0,0
12,4,1,0.0,0.108,0.0,1,0,0
13,4,2,0.0,0.097999997,1.0,0,1,0
14,4,3,0.0,0.061000001,0.0,0,0,1
15,4,4,0.0,0.086000003,0.0,0,0,0
16,5,1,0.0,0.125,0.0,1,0,0
17,5,2,0.0,0.097999997,1.0,0,1,0
18,5,3,0.0,0.048999999,0.0,0,0,1
19,5,4,0.0,0.079000004,0.0,0,0,0
20,6,1,0.0,0.108,0.0,1,0,0
21,6,2,0.0,0.092,1.0,0,1,0
22,6,3,0.0,0.050000001,0.0,0,0,1
23,6,4,0.0,0.079000004,0.0,0,0,0
24,7,1,0.0,0.103,0.0,1,0,0
25,7,2,0.0,0.081,1.0,0,1,0
26,7,3,0.0,0.048999999,0.0,0,0,1
27,7,4,0.0,0.079000004,0.0,0,0,0
28,8,1,0.0,0.108,0.0,1,0,0
29,8,2,0.0,0.086000003,0.0,0,1,0
30,8,3,0.0,0.054000001,0.0,0,0,1
31,8,4,0.0,0.079000004,1.0,0,0,0
32,9,1,0.0,0.108,1.0,1,0,0
33,9,2,0.0,0.097999997,0.0,0,1,0
34,9,3,0.0,0.050000001,0.0,0,0,1
35,9,4,0.0,0.079000004,0.0,0,0,0
36,10,1,0.0,0.108,1.0,1,0,0
37,10,2,0.0,0.097999997,0.0,0,1,0
38,10,3,0.0,0.050000001,0.0,0,0,1
39,10,4,0.0,0.079000004,0.0,0,0,0
40,11,1,0.0,0.108,1.0,1,0,0
41,11,2,0.0,0.097999997,0.0,0,1,0
42,11,3,0.0,0.050000001,0.0,0,0,1
43,11,4,0.0,0.079000004,0.0,0,0,0
44,12,1,0.0,0.108,1.0,1,0,0
45,12,2,0.0,0.097999997,0.0,0,1,0
46,12,3,0.0,0.050000001,0.0,0,0,1
47,12,4,0.0,0.079000004,0.0,0,0,0
48,13,1,0.0,0.108,0.0,1,0,0
49,13,2,0.0,0.081,0.0,0,1,0
50,13,3,0.0,0.050000001,0.0,0,0,1
51,13,4,0.0,0.086000003,1.0,0,0,0
